funder_name,count
National Natural Science Foundation of China,1744422
National Science Foundation,333067
National Institutes of Health,280235
Deutsche Forschungsgemeinschaft,172087
Fundamental Research Funds for the Central Universities,170341
National Research Foundation of Korea,160248
Japan Society for the Promotion of Science,149671
National Key Research and Development Program of China,139830
China Postdoctoral Science Foundation,104509
"Ministry of Education, Culture, Sports, Science and Technology",102648
Natural Sciences and Engineering Research Council of Canada,97230
U.S. Department of Energy,91992
Conselho Nacional de Desenvolvimento Científico e Tecnológico,80951
Australian Research Council,73329
NIH,68015
European Research Council,67851
Engineering and Physical Sciences Research Council,63306
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,63094
China Scholarship Council,60769
Ministry of Science and Technology of the People's Republic of China,57654
European Commission,51836
"Ministry of Science and Technology, Taiwan",51590
National Basic Research Program of China,51374
Chinese Academy of Sciences,51359
Agence Nationale de la Recherche,50672
Natural Science Foundation of Jiangsu Province,50023
European Regional Development Fund,49417
National Cancer Institute,48686
Ministry of Education,43909
NSF,43804
Russian Science Foundation,41986
National Key R&D Program of China,41894
National Institute of General Medical Sciences,41324
Wellcome Trust,41149
Natural Science Foundation of China,40609
Fundação de Amparo à Pesquisa do Estado de São Paulo,39498
Canadian Institutes of Health Research,38333
Russian Foundation for Basic Research,38123
Bundesministerium für Bildung und Forschung,37508
Ministerio de Economía y Competitividad,36906
Science and Engineering Research Board,36256
Fundação para a Ciência e a Tecnologia,33559
Natural Science Foundation of Shandong Province,32889
National Health and Medical Research Council,32512
H2020 European Research Council,32366
National Institute of Mental Health,31047
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,30953
National Aeronautics and Space Administration,30917
NSFC,30680
Natural Science Foundation of Guangdong Province,30444
CNPq,30375
National Science Foundation of China,28169
Medical Research Council,28154
"National Heart, Lung, and Blood Institute",28006
the National Natural Science Foundation of China,27594
Office of Naval Research,26621
Natural Science Foundation of Zhejiang Province,26442
Ministry of Education of the People's Republic of China,26010
Narodowe Centrum Nauki,25889
Seventh Framework Programme,25856
Horizon 2020 Framework Programme,25762
Horizon 2020,25581
Air Force Office of Scientific Research,25560
Academy of Finland,25328
National Institute of Allergy and Infectious Diseases,25223
National Institute on Aging,25208
Consejo Nacional de Ciencia y Tecnología,24155
National Research Foundation,24039
Vetenskapsrådet,23737
Basic Energy Sciences,23642
Austrian Science Fund,23201
Science and Technology Commission of Shanghai Municipality,22528
"Ministry of Science, ICT and Future Planning",22259
National Natural Science Foundation of China (NSFC),22202
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,21788
University Grants Commission,21688
Ministry of Science and Technology,21094
Priority Academic Program Development of Jiangsu Higher Education Institutions,21006
Swiss National Science Foundation,20497
JSPS KAKENHI,20443
National Institute of Diabetes and Digestive and Kidney Diseases,20347
National Institute on Drug Abuse,20133
Israel Science Foundation,19782
Biotechnology and Biological Sciences Research Council,19750
Japan Science and Technology Agency,19625
CAPES,19491
Ministerio de Ciencia e Innovación,19416
National Nature Science Foundation of China,19064
"Ministry of Education, Science and Technology",18736
Japan Agency for Medical Research and Development,17683
Division of Chemistry,17585
National Institute of Neurological Disorders and Stroke,17120
Instituto de Salud Carlos III,16987
Natural Environment Research Council,16806
Ministry of Education of the People&apos;s Republic of China,16796
National Center for Advancing Translational Sciences,16749
American Heart Association,16571
National Institute for Health Research,16499
U.S. Department of Agriculture,16081
Ministry of Education and Science of the Russian Federation,15908
