year,count
,170
1954.0,21
1955.0,22
1956.0,37
1957.0,51
1958.0,39
1959.0,50
1960.0,40
1961.0,49
1962.0,41
1963.0,49
1964.0,43
1965.0,58
1966.0,55
1967.0,64
1968.0,78
1969.0,99
1970.0,173
1971.0,162
1972.0,228
1973.0,264
1974.0,218
1975.0,233
1976.0,277
1977.0,339
1978.0,395
1979.0,912
1980.0,1194
1981.0,1406
1982.0,1498
1983.0,1433
1984.0,1590
1985.0,1534
1986.0,1577
1987.0,2171
1988.0,2811
1989.0,2286
1990.0,2676
1991.0,3037
1992.0,3327
1993.0,3638
1994.0,3844
1995.0,4072
1996.0,4263
1997.0,4758
1998.0,4505
1999.0,4598
2000.0,4445
2001.0,5080
2002.0,5274
2003.0,5528
2004.0,5995
2005.0,6612
2006.0,7510
2007.0,8111
2008.0,8555
2009.0,10255
2010.0,10523
2011.0,12457
2012.0,13355
2013.0,13663
2014.0,15230
2015.0,16563
2016.0,17093
2017.0,18259
2018.0,21203
2019.0,22830
2020.0,26708
2021.0,31331
2022.0,37401
2023.0,13981
